Code,Description (English),বর্ণনা,
2143301,Radio spectra,রেডিও স্পেক্ট্রা,
2143302,Natural resources not elsewhere classified,প্রাকৃতিক সম্পদ যা অন্যত্র শ্রেণিবদ্ধ নয়,
2144,Intangible nonproduced assets,অপরিমাপযোগ্য অউৎপাদিত সম্পদ,
21441,"Contracts, leases, and license","চুক্তি, ইজারা ও লাইসেন্স",
2144101,Marketable operating leases,বিপণনযোগ্য ইজারা পরিচালনা,
2144102,Permits to use natural resources,প্রাকৃতিক সম্পদ ব্যবহারের অনুমতিপত্র,
2144103,Permits to undertake specific activities,নির্দিষ্ট কার্যক্রম গ্রহণের অনুমতিপত্র,
2144104,Entitlement to future goods and services on an exclusive basis,এককভাবে ভবিষ্যতে পণ্য ও পরিসেবা প্রাপ্তির অধিকারপত্র,
21442,Goodwill and marketing assets,সুনাম ও বিপণন সম্পদ,
3,Recurrent Expenditure,আবর্তক ব্যয়,
31,Compensation of employees,কর্মচারীদের প্রতিদান (Compensation),
311,Wages and salaries,মজুরি ও বেতন,
3111,Wages and salaries in cash,নগদ মজুরি ও বেতন,
31111,Officers' pay,অফিসারদের বেতন,
3111101,Basic pay (Officer),মূল বেতন (অফিসার),
3111102,Personal pay,ব্যক্তিগত বেতন,
3111103,Special pay,বিশেষ বেতন,
3111104,Command pay,কমান্ড পে,
3111105,Qualification pay,কোয়ালিফিকেশন পে,
3111106,Appointment pay,নিযুক্তি বেতন,
3111107,Flying pay,উড্ডয়ন বেতন,
3111108,SSG pay,এসএসজি বেতন,
3111109,Disturbance pay,উপদ্রব (disturbance) পে,
3111110,Leave encashment pay (Officer),ছুটি নগদায়ন বেতন (অফিসার),
3111199,Other pay,অন্যান্য বেতন,
31112,Staff's pay,কর্মচারীদের বেতন,
3111201,Basic pay (Employee),মূল বেতন (কর্মচারী),
3111202,Personal pay,ব্যক্তিগত  বেতন,
3111203,Qualification pay,কোয়ালিফিকেশন পে,
3111204,Appointment pay,নিযুক্তি বেতন,
3111205,Flying pay,উড্ডয়ন বেতন,
3111206,SSG pay,এসএসজি বেতন,
3111207,Good conduct pay,সদাচরণ বেতন,
3111208,Worthyness pay,ওয়ার্দিনেস পে,
3111209,Leave encashment pay (Employee),ছুটি নগদায়ন বেতন (কর্মচারী),
31113,Allowances,ভাতাদি,
3111301,Charge allowance,দায়িত্ব ভাতা,
3111302,Conveyance allowance,যাতায়াত ভাতা,
3111303,Daily/ Subsistence allowance,দৈনিক/ খোরাকি ভাতা,
3111304,Dearness allowance,মহার্ঘ ভাতা,
3111305,Deputation allowance,প্রেষণ ভাতা,
3111306,Education allowance,শিক্ষা ভাতা,
3111307,Foreign allowance,বৈদেশিক ভাতা,
3111308,Hazardous job allowance,ঝুঁকি ভাতা,
3111309,Hill allowance,পাহাড়ি ভাতা,
3111310,Housing rent allowance,বাড়ি ভাড়া ভাতা,
3111311,Medical allowance,চিকিৎসা ভাতা,
3111312,Mobile/cellphone allowance,মোবাইল/সেলফোন ভাতা,
3111313,Residential telephone encashment allowance,আবাসিক টেলিফোন নগদায়ন ভাতা,
3111314,Tiffin allowance,টিফিন ভাতা,
3111315,Uniform allowance,পোশাক ভাতা,
3111316,Washing allowance,ধোলাই ভাতা,
3111317,Defence services allowance,প্রতিরক্ষা সার্ভিস ভাতা,
3111318,Batsman allowance,ব্যাটসম্যান ভাতা,
3111319,Haircut allowance,চুলকাটা ভাতা,
3111320,Ration allowance,রেশন ভাতা,
3111321,Internee/Apprenticeship allowance,ইর্ন্টানি/শিক্ষানবিশ ভাতা,
3111322,Retainer allowance,রিটেইনার ভাতা,
3111323,Chawki allowance,চৌকি ভাতা,
3111324,Compensatory allowance,ক্ষতিপূরণ ভাতা,
3111325,Festival allowance,উৎসব ভাতা,
3111326,Fixed travel allowance,ভ্রমণ ভাতা,
3111327,Overtime allowance,অধিকাল ভাতা,
3111328,Rest and recreation allowance,শ্রান্তি ও বিনোদন ভাতা,
3111329,Training allowance,প্রশিক্ষণ ভাতা,
3111330,"Allowances for chief, headman and karbaries","চিফ, হেডম্যান ও কারবারিদের ভাতা",
3111331,Refreshment allowance,আপ্যায়ন ভাতা,
3111332,Honorarium allowance,সম্মানী ভাতা,
3111333,Domestic aid allowance,গৃহ-সহায়তা ভাতা,
3111334,Medal allowance,পদক ভাতা,
3111335,Bangla new year allowance,বাংলা নববর্ষ ভাতা,
3111336,Sumptuary allowance,নিয়ামক ভাতা,
3111337,Disturbance allowance,উপদ্রব (disturbance) ভাতা,
3111338,Other allowances,অন্যান্য ভাতা,
3111339,Cook allowance,পাচক ভাতা,
3111340,Security allowances,নিরাপত্তা ভাতা,
3111341,Judicial allowance,বিচারিক ভাতা,
3111342,Transport allowance,পরিবহন ভাতা,
3111343,Haor/island/char allowance,হাওড়/দ্বীপ/চর ভাতা,
3111344,Subsistence allowance (Suspension),খোরাকি ভাতা (সাসপেনশন),
3111345,Running allowance (Railway),রানিং ভাতা (রেলওয়ে),
3111346,Incentive (Non practicing allowance) ,প্রণোদনা (নন প্র্যাকটিসিং ভাতা),
3111347,Risk allowance,ঝুঁকি ভাতা,
3112,Wages and salaries in kind,অনগদ মজুরি ও বেতন,
312,Employer's social contributions,নিয়োগকারীর সামাজিক অবদান,
3121,Imputed  employer's social contributions,নিয়োগকারীর আরোপিত সামাজিক অবদান,
3122,Actual  employer's  social contributions,নিয়োগকারীর প্রকৃত সামাজিক অবদান,
32,Use of goods and services,পণ্য ও সেবার ব্যবহার,
321,Administrative expenses,প্রশাসনিক ব্যয়,
3211,Administrative expenses,প্রশাসনিক ব্যয়,
32111,Administrative Expenses,প্রশাসনিক ব্যয়,
3211101,Awards and rewards,পুরস্কার,
3211102,Cleaning and washing items,পরিষ্কার পরিচ্ছন্নতা সামগ্রী,
3211103,Compensation,ক্ষতিপূরণ,
3211104,Contingent Staff,আনুষঙ্গিক কর্মচারি/ প্রতিষ্ঠান,
3211105,Delegation expenses,প্রতিনিধি ব্যয়,
3211106,Entertainment expenses,আপ্যায়ন ব্যয়,
3211107,Transport hiring,যানবাহন ব্যবহার (চুক্তিভিত্তিক),
3211108,Mobile/cell phone,মোবাইল/ সেল ফোন,
3211109,Consolidated pay to non-government employees,সাকুল্য বেতন (সরকারি কর্মচারী ব্যতীত),
3211110,Legal expenses,আইন সংক্রান্ত ব্যয়,
3211111,Seminar/Conference expenses,সেমিনার/কনফারেন্স ব্যয়,
3211112,Subscriptions,চাঁদা,
3211113,Electricity,বিদ্যুৎ,
3211114,Utility service charge,উপযোগ সেবা (Utility service) চার্জ,
3211115,Water,পানি,
3211116,Courier,কুরিয়ার,
3211117,Internet/Fax/Telex,ইন্টারনেট/ ফ্যাক্স/ টেলেক্স,
3211118,Mail bags,মেইল ব্যাগ,
3211119,Postage,ডাক,
3211120,Telephone,টেলিফোন,
3211121,Rent of machine and equipment,মেশিন ও সরঞ্জামাদির ভাড়া,
3211122,Rent of residential building,আবাসিক ভবন ভাড়া,
3211123,Rent of other assets,অন্যান্য সম্পদের ভাড়া,
3211124,Rent of satellite/frequency,স্যাটেলাইট/ফ্রিকোয়েন্সি ভাড়া,
3211125,Advertising expenses,প্রচার ও বিজ্ঞাপন ব্যয়,
3211126,Audio- video/film production,অডিও-ভিডিও/চলচ্চিত্র নির্মাণ,
3211127,Books & periodicals,বইপত্র ও সাময়িকী,
3211128,Publications,প্রকাশনা,
3211129,Rent of office building rental,অফিস ভবন ভাড়া,
3211130,Conveyance expenditure,যাতায়াত ব্যয়,
3211131,Outsourcing,আউটসোর্সিং,
3211132,Heating charge,হিটিং  চার্জ,
3211133,Rent of venue,ভেন্যু ভাড়া,
3211134,Labor (irregular) wages,শ্রমিক (অনিয়মিত) মজুরি,
3211135,Recruitment test,নিয়োগ পরীক্ষা,
3211136,News/information collection,সংবাদ/তথ্য সংগ্রহ,
3211137,Monitoring and surveillance,পর্যবেক্ষণ ও নজরদারি,
322,"Fees, charges and commissions","ফি, চার্জ ও কমিশন",
3221,"Fees, charges and commissions","ফি, চার্জ ও কমিশন",
32211,"Fees, charges and commissions","ফি, চার্জ ও কমিশন",
3221101,Audit/ study fee,নিরীক্ষা/সমীক্ষা ফি,
3221102,License fee,লাইসেন্স ফি,
3221103,Pre-shipment inspection fee,প্রাক-জাহাজিকরণ পরিদর্শন ফি,
3221104,Registration fee,নিবন্ধন ফি,
3221105,Testing fee,টেস্টিং ফি,
3221106,Transport charge,পরিবহণ ব্যয়,
3221107,Copying charge,অনুলিপি ব্যয়,
3221108,Bank charge,ব্যাংক চার্জ,
3221109,Management charges,ব্যবস্থাপনা ব্যয়,
3221110,Commission,কমিশন,
3221111,Navigation fee,নৌচলাচল ফি,
3221112,Examination fee,পরীক্ষা ফি,
3221113,Maritime Charge,সামুদ্রিক (Maritime) চার্জ,
3221114,Port charges,বন্দর চার্জ,
3221115,Railway charges,রেলওয়ে চার্জ,
3221116,Plan/structure approval fee,নকশা/অবকাঠামো অনুমোদন ফি,
3221117,Tolls on bridges/roads,সেতু/সড়কের ওপর টোল,
3221118,fitness fee,ফিটনেস ফি,
3221119,Route permit fee,রুট পারমিট ফি,
3221120,Data usage expense,ডাটা ব্যবহার ব্যয়,
323,Training,প্রশিক্ষণ,
3231,Training,প্রশিক্ষণ,
32311,Foreign training,বৈদেশিক প্রশিক্ষণ,
32312,Domestic training,অভ্যন্তরীণ প্রশিক্ষণ,
3231202,Advance for Domestic training,অভ্যন্তরীণ প্রশিক্ষণের জন্য অগ্রিম,
32313,Training,প্রশিক্ষণ,
3231301,Training,প্রশিক্ষণ,
3231302,Advance for training,প্রশিক্ষণের জন্য অগ্রিম,
324,Travel and transport,ভ্রমণ ও পরিবহণ,
3241,Domestic travel and transfer,অভ্যন্তরীণ  ভ্রমণ ও বদলি,
32411,Domestic travel and transfer,অভ্যন্তরীণ ভ্রমণ ও বদলি,
3241101,Domestic travel expenses,অভ্যন্তরীণ ভ্রমণ ব্যয়,
3241102,Domestic transfer expenses,অভ্যন্তরীণ বদলি ব্যয়,
3241103,Advance for domestic travel,অভ্যন্তরীণ ভ্রমণের জন্য অগ্রিম,
3242,Foreign travel and transfer,বৈদেশিক ভ্রমণ ও বদলি,
32421,Foreign travel and transfer,বৈদেশিক ভ্রমণ ও বদলি,
3242101,Foreign travel expenses,বৈদেশিক ভ্রমণ ব্যয়,
3242102,Foreign transfer expenses,বৈদেশিক বদলি ব্যয়,
3242103,Advance for foreign travel,বৈদেশিক ভ্রমণের অগ্রিম,
3243,"Petrol, oil and lubricants","পেট্রোল, ওয়েল ও লুব্রিকেন্ট",
32431,"Petrol, oil and lubricants","পেট্রোল, ওয়েল ও লুব্রিকেন্ট",
3243101,"Petrol, oil and lubricants","পেট্রোল, ওয়েল ও লুব্রিকেন্ট",
3243102,Gas and  fuel,গ্যাস  ও জ্বালানি,
3243103,High speed engine oil,হাই স্পীড ইঞ্জিন ওয়েল,
3244,Travel and Transfer,ভ্রমণ ও বদলি,
32441,Travel and Transfer,ভ্রমণ ও বদলি,
3244101,Travel Expense,ভ্রমণ ব্যয়,
3244102,Transfer Expense,বদলি ব্যয়,
3244103,Advance for travel,ভ্রমণের জন্য অগ্রিম,
325,"Supplies, materials and general expenses","সরবরাহ, উপকরণ ও সাধারণ ব্যয়",
3251,Agriculture supplies,কৃষিজ সরবরাহ,
32511,Agriculture supplies,কৃষিজ সরবরাহ,
3251101,Animal husbandry,প্রাণিপালন,
3251102,Animal vaccines and medicines,প্রাণিটিকা ও ঔষধ,
3251103,Milk and dairy products,দুধ ও দুগ্ধজাত দ্রব্যাদি,
3251104,Demonstration farming,প্রদর্শন খামার,
3251105,Fertilizer,সার,
3251106,Fish & animal feed,মৎস্য ও প্রাণী খাদ্য,
3251107,Insecticide,কীটনাশক,
3251108,Poultry,হাঁস-মুরগি,
3251109,Seeds and plants,বীজ ও চারা,
3252,Medical and surgical supplies,চিকিৎসা ও শল্য চিকিৎসা সরঞ্জামাদি সরবরাহ,
32521,Medical and surgical supplies,চিকিৎসা ও শল্য চিকিৎসা সরঞ্জামাদি সরবরাহ,
3252101,Bedding,বিছানাপত্র,
3252102,Birth control supplies,জন্মনিরোধক সামগ্রী,
3252103,IUD and Norplant (Clinical family planning,আই.ইউ.ডি ও নরপ্লান্ট,
3252104,Dietary supplements,পথ্য,
3252105,Medical and surgical supplies,চিকিৎসা ও শল্য চিকিৎসা সরঞ্জামাদি সরবরাহ,
3252106,Oxygen supplies,অক্সিজেন সরবরাহ,
3252108,Sanitation materials,স্বাস্থ্যবিধান  (sanitation) সামগ্রী,
3252109, Medicines and vaccines,ঔষধ ও প্রতিষেধক,
3253,Public order and safety supplies,জনশৃঙ্খলা ও নিরাপত্তা সামগ্রী সরবরাহ,
32531,Public order and safety supplies,জনশৃঙ্খলা ও নিরাপত্তা সামগ্রী সরবরাহ,
3253101,Arms and ammunitions,অস্ত্র ও গোলাবারুদ,
3253102,Security materials,নিরাপত্তা সামগ্রী,
3253103,Hiring of security services,নিরাপত্তা সেবা ( ভাড়ার ভিত্তিতে ),
3254,Food supplies,খাদ্য সরবরাহ,
32541,Food supplies,খাদ্য সরবরাহ,
3254101,Fish & fish products,মৎস্য ও মৎস্যজাত দ্রব্য,
3254102,Foodstuffs,খাদ্যদ্রব্য,
3254103,Rations,রেশন,
3254104,Subsistence rations,খোরাকি রেশন,
3254105,Food freight charge,খাদ্য পরিবহণ ব্যয়,
3254106,Food handling Charges,খাদ্য খালাস ব্যয়,
3254107,Gunny bags,চটের বস্তা,
3255,Printing and stationery,মুদ্রণ ও মনিহারি,
32551,Printing and stationery,মুদ্রণ ও মনিহারি,
3255101,Computer consumables,কম্পিউটার সামগ্রী,
3255102,Printing and binding,মুদ্রণ ও বাঁধাই,
3255103,Passport books,পাসপোর্ট বই,
3255104,Stamps and seals,স্ট্যাম্প ও সিল,
3255105,Other stationery,অন্যান্য মনিহারি,
3255106,Map,ম্যাপ,
3256,General supplies and materials,সাধারণ সরবরাহ ও কাঁচামাল সামগ্রী,
32561,General supplies and materials,সাধারণ সরবরাহ ও কাঁচামাল সামগ্রী,
3256102,Chemicals,রাসায়নিক,
3256103,Consumable items,ব্যবহার্য সামগ্রি,
3256105,Raw materials and spare parts,কাঁচামাল ও খুচরা যন্ত্রাংশ,
3256106,Uniforms,পোশাক,
3256107,Sports materials,ক্রীড়া সামগ্রী,
3256108,Consumable stores (Railway),ভাণ্ডারজাত ব্যবহার্য সামগ্রি (রেলওয়ে),
3256109,Consumable stores (Railway-suspense),ভাণ্ডারজাত ব্যবহার্য সামগ্রি (রেলওয়ে-সাসপেন্স),
3257,"Professional services, honorariums and special expenses","পেশাগত সেবা, সম্মানী ও বিশেষ ব্যয়",
32571,Professional services,পেশাগত সেবা,
3257101,Consultancy,কনসালটেন্সি,
3257102,Intelligence,গোয়েন্দা,
3257103,Research,গবেষণা,
3257104,Survey,জরিপ,
3257105,Innovation,উদ্ভাবন,
3257106,Integrity,শুদ্ধাচার,
3257107,Aerial image,এরিয়্যাল ইমেজ,
32572,Honorarium and special expenses,সম্মানী ও বিশেষ ব্যয়,
3257201,Remuneration to public representative,জনপ্রতিনিধিগণের পারিতোষিক,
3257202,Constituency allowance,নির্বাচনি এলাকা ভাতা,
3257203,Contract allowance,চুক্তি ভাতা,
3257204,Operation allowance for electoral area office,নির্বাচনি এলাকার অফিস পরিচালনা ভাতা,
3257205,Telephone allowance for public representatives,জনপ্রতিনিধিগণের টেলিফোন ভাতা,
3257206,Honorarium,সম্মানী,
32573,Special expenses,বিশেষ ব্যয়,
3257301,Ceremonies/Festivals,অনুষ্ঠান/ উৎসবাদি,
3257302,Medical expenditure,চিকিৎসা ব্যয়,
3257303,Operations contingency,অপারেশন কন্টিজেন্সি,
3257304,Gardening,বাগান পরিচর্যা,
3257305,Investigation,তদন্ত,
3257306,Data storage expense,ডাটা সংরক্ষণ ব্যয়,
3257307,Relief train expense,রিলিফ ট্রেনের ব্যয়,
3257308,Feasibility study,সম্ভাব্যতা সমীক্ষা,
3258,Repairs and maintenance,মেরামত ও সংরক্ষণ,
32581,Repairs and maintenance,মেরামত ও সংরক্ষণ,
3258101,Motor vehicle,মোটরযান,
3258102,Furniture,আসবাবপত্র,
3258103,Computer,কম্পিউটার,
3258104,Office equipment,অফিস সরঞ্জামাদি,
3258105,Other Machineries and equipment,অন্যান্য যন্ত্রপাতি ও সরঞ্জামাদি,
3258106,Residential buildings,আবাসিক ভবন,
3258107,Non-residential buildings,অনাবাসিক ভবন,
3258108,Other buildings & structures,অন্যান্য ভবন ও স্থাপনা,
3258109,Meteorological equipment,আবহাওয়া সম্পর্কিত সরঞ্জামাদি,
3258110,Roads & highways,সড়ক ও মহাসড়ক,
3258111,Bridges,সেতু,
3258112,Rural roads,গ্রামীণ সড়ক,
3258113,Culverts,কালভার্ট,
3258114,Irrigation & drainage structures,সেচ ও নিকাশ (drainage) কাঠামো,
3258115,Sanitation & water supply,স্বাস্থ্য বিধান (sanitation) ও পানি সরবরাহ,
3258116,Signal/wireless equipment,সিগনাল/ ওয়ারলেস সরঞ্জামাদি,
3258117,Lines and wares,লাইন ও তার,
3258118,Mast and aerials,খুঁটি ও এরিয়াল,
3258119,Electrical installations,বৈদ্যুতিক স্থাপনা,
3258120,Rolling stock,রোলিং স্টক,
3258121,Railway installations,রেলওয়ে স্থাপনা,
3258123,Aircraft,আকাশযান,
3258124,Pillar maintenance,পিলার রক্ষণাবেক্ষণ,
3258125,Military hardware,সামরিক যন্ত্রপাতি (hardware),
3258126,Telecommunications equipments,টেলিযোগাযোগ সরঞ্জামাদি,
3258127,Fittings & fixtures,ফিটিং ও ফিক্সার,
3258128,Water vehicle,জলযান,
3258129,Engineering and other equipments,প্রকৌশল ও অন্যান্য সরঞ্জামাদি,
3258130,Under water vehicles,ডুবোজাহাজ,
3258131,Medical and surgical equipment,চিকিৎসা ও শল্য চিকিৎসা সরঞ্জামাদি,
3258132,Gas line maintenance,গ্যাস লাইন রক্ষণাবেক্ষণ,
3258133,Tarmac/Runway,ট্যারমাক/রানওয়ে,
3258134,Mechineries & equipment,যন্ত্রপাতি ও সরঞ্জামাদি,
3258135,Shed,ছাউনি,
3258136,Play/Training Ground,খেলা/প্রশিক্ষণ মাঠ,
3258137,Embankment,বাঁধ,
3258138,Sluice gate,স্লুইস গেট,
3258139,Pump house,পাম্প হাউস,
3258140,Transport maintenance expense,মোটরযান রক্ষণাবেক্ষণ ব্যয়,
3258141,Interior decoration,অভ্যন্তরীণ শোভাবর্ধন,
3258142,Dredging maintenance,ড্রেজিং রক্ষণাবেক্ষণ,
3258143,Software and database maintenance,সফট্ওয়্যার ও ড্যাটাবেজ রক্ষণাবেক্ষণ,
3258144,Website maintenance,ওয়েবসাইট রক্ষণাবেক্ষণ,
3258145,Renovation of rolling stock,রোলিং স্টক পুনঃসংস্কার,
3258146,Electrical equipments,বৈদ্যুতিক সরঞ্জামাদি,
3258147,Embankment repair (during disaster),বাঁধ মেরামত (দুর্যোগকালীন),
32582,Repairs and maintenance for railway,রেলওয়ে এর জন্য মেরামত ও সংরক্ষণ,
3258201,Locomotives,রেল ইঞ্জিন,
3258202,Carriage,যাত্রীবাহী যান,
3258203,Wagon,মালবাহী যান,
3258204,Power Car,পাওয়ার কার,
3258205,Rail Car,রেল কার ,
3258206,Track,রেলপথ,
3258207,Railway station and workshop buildings,রেলপথ স্টেশন এবং ওয়ার্কশপ বিল্ডিং,
3258208,Rail signal and interlocking works,রেল সিগনাল এন্ড ইন্টারলকিং,
3258209,Foot and road under/over bridge,ফুট ওভার এন্ড আন্ডার ব্রীজ,
3258210,Tunnels,টানেল,
3258211,Fencing,পরিবেষ্টনী,
33,Consumption of fixed capital,স্থায়ী মূলধন ভোগ,
34,Profit and Interest,মুনাফা ও সুদ,
341,To nonresidents,অনিবাসীদেরকে দেয় সুদ,
3411,Interest on foreign loan,বৈদেশিক ঋণের ওপর সুদ,
34111,Interest on foreign loan,বৈদেশিক ঋণের ওপর সুদ,
3411101,Interest on foreign loan,বৈদেশিক ঋণের ওপর সুদ,
342,To residents other than general government,নিবাসীদেরকে দেয় সুদ (সাধারণ সরকারি প্রতিষ্ঠান ব্যতীত),
3421,Interest on domestic loan,অভ্যন্তরীণ ঋণের ওপর সুদ,
34211,Treasury bond interest,ট্রেজারি বন্ডের ওপর সুদ,
3421101,Treasury bond (one year),এক বছর মেয়াদি ট্রেজারি বন্ড,
3421102,Treasury bond (two years),দুই বছর মেয়াদি ট্রেজারি বন্ড,
3421103,Treasury bond (three years),তিন বছর মেয়াদি ট্রেজারি বন্ড,
3421104,Treasury bond (four years),চার বছর মেয়াদি ট্রেজারি বন্ড,
3421105,Treasury bond (five years),পাঁচ বছর মেয়াদি ট্রেজারি বন্ড,
3421106,Treasury bond (six years),ছয় বছর মেয়াদি ট্রেজারি বন্ড,
3421107,Treasury bond (seven years),সাত বছর মেয়াদি ট্রেজারি বন্ড,
3421108,Treasury bond (nine years),নয় বছর মেয়াদি ট্রেজারি বন্ড,
3421109,Treasury bond (ten Years),দশ বছর মেয়াদি ট্রেজারি বন্ড,
3421110,Treasury bond (eleven years),এগার বছর মেয়াদি ট্রেজারি বন্ড,
3421111,Treasury bond (twelve years),বার বছর মেয়াদি ট্রেজারি বন্ড,
3421112,Treasury bond (fifteen years),পনের বছর মেয়াদি ট্রেজারি বন্ড,
3421113,Treasury bond (twenty years),কুড়ি বছর মেয়াদি ট্রেজারি বন্ড,
3421114,Treasury bond (twenty five years),পঁচিশ বছর মেয়াদি ট্রেজারি বন্ড,
3421115,Block loan against ad-hoc treasury bill,এডহক ট্রেজারি বিলের বিপরীতে থোক ঋণ,
3421116,Special treasury bond,বিশেষ ট্রেজারি বন্ড,
3421117,Treasury bond (eight years),আট বছর মেয়াদি ট্রেজারি বন্ড,
3421118,Treasury bond (thirteen years),তের বছর মেয়াদি ট্রেজারি বন্ড,
34212,Floating loan interest,ঋণের অনির্দিষ্ট সুদ,
3421201,Ways and means,উপায় উপকরণ (ways and means),
3421202,Overdraft interest,অতি-হুন্ডি (overdraft) সুদ,
3421203,Treasury bill (twenty-eight days),২৮ দিন মেয়াদি ট্রেজারি বিল,
3421204,Treasury bill (ninety-one days),৯১ দিন মেয়াদি ট্রেজারি বিল,
3421205,Treasury bill (one hundred eighty two days),১৮২ দিন মেয়াদি ট্রেজারি বিল,
3421206,Treasury bill (three hundred sixty-four days),৩৬৪ দিন মেয়াদি ট্রেজারি বিল,
3421207,Interest on floating rate treasury bond,ফ্লোটিং রেট ট্রেজারি বন্ডের ওপর সুদ,
34213,Promissory notes and other notes,প্রমিজরি নোট ও অন্যান্য নোট,
3421301,Promissory note (IDA),প্রমিজরি নোট (আই.ডি.এ),
3421302,Promissory note (IBRD),প্রমিজরি নোট (আই.বি.আর.ডি),
3421303,Cash credit accommodation,নগদ অগ্রিম সংস্থান,
3421304,Other promissory note,অন্যান্য প্রমিজরি নোট,
34214,Interest on national savings,জাতীয় সঞ্চয়পত্রের ওপর সুদ,
3421401,Bonus saving certificate,বোনাস সঞ্চয়পত্র,
3421402,Bangladesh saving certificate,বাংলাদেশ সঞ্চয়পত্র,
3421403,Family savings certificates,পারিবারিক সঞ্চয়পত্র,
3421404,Defence savings certificate,প্রতিরক্ষা সঞ্চয়পত্র,
3421405,Savings certificates with six months profit,ছয় মাস অন্তর মুনাফাভিত্তিক সঞ্চয়পত্র,
3421406,Savings certificates with three months profit,তিন মাস অন্তর মুনাফাভিত্তিক সঞ্চয়পত্র,
3421407,Three years saving certificate,তিন বছর মেয়াদি সঞ্চয়পত্র,
3421408,Three years deposit savings certificate,তিন বছর মেয়াদি জামানত সঞ্চয়পত্র,
3421409,Five years savings certificate,পাঁচ বছর মেয়াদি সঞ্চয়পত্র,
3421410,Deposit of pension saving certificate,পেনশনার সঞ্চয়পত্রের জামানত,
3421411,Postal saving bank-ordinary deposit,ডাকঘর সঞ্চয় ব্যাংক-সাধারণ জামানত,
3421412,Postal fixed and term deposit,ডাকঘর সঞ্চয় ব্যাংক-স্থায়ী ও মেয়াদি জামানত,
3421413,Postal bonus deposit,ডাকঘর বোনাস জামানত,
3421414,Postal cash card deposit,ডাকঘর ক্যাশ কার্ড জামানত,
3421415,Postal life insurance and annuity,ডাকঘর জীবনবিমা ও অ্যানুয়িটি,
3421416,Prize bond,প্রাইজ বন্ড,
3421417,Wage earner's development bond,ওয়েজ আর্নার'স ডেভেলপমেন্ট বন্ড,
3421418,Three years national investment bond,তিন বছর মেয়াদি জাতীয় বিনিয়োগ বন্ড,
3421419,US dollar premium bond,ইউ.এস ডলার প্রিমিয়াম বন্ড,
3421420,US dollar investment bond,ইউ.এস ডলার বিনিয়োগ বন্ড,
3421421,Bonus Saving Certificate,বোনাস সঞ্চয়পত্র,
34215,Interest on provident fund,ভবিষ্য তহবিলের ওপর সুদ,
3421501,General provident fund (civil),সাধারণ ভবিষ্য তহবিল (সিভিল),
3421502,General provident fund (defence),সাধারণ ভবিষ্য তহবিল (প্রতিরক্ষা),
3421503,General provident fund (railway),সাধারণ ভবিষ্য তহবিল (রেলওয়ে),
3421504,General provident fund (postal),সাধারণ ভবিষ্য তহবিল (ডাক বিভাগ),
3421505,General provident fund (T & T),সাধারণ ভবিষ্য তহবিল (টি এন্ড টি),
3421506,Contributory provident fund,কন্ট্রিবিউটারি ভবিষ্য তহবিল,
34216,Other interest,অন্যান্য সুদ,
3421601,Food account,খাদ্য হিসাব,
3421602,Loan management expenses,ঋণ ব্যবস্থাপনা ব্যয়,
34217,Floating Rate Treasury Bonds (three years),ফ্লোটিং রেট ট্রেজারি বন্ড (তিন বছর মেয়াদি),
3421701,Floating Rate Treasury Bonds (three years),ফ্লোটিং রেট ট্রেজারি বন্ড (তিন বছর মেয়াদি),
343,Interest to other general government units,অন্যান্য সাধারণ সরকারি প্রতিষ্ঠানকে দেয় সুদ,
344,Profit,মুনাফা,
3441,Profit payment of islamic securities,ইসলামি সিকিউরিটিজের ওপর মুনাফা,
34411,Profit payment of sukuk securities,সুকুক সিকিউরিটিজের মুনাফা পরিশোধ,
3441101,Sukuk profit payment (five years),সুকুক মুনাফা পরিশোধ (পাঁচ বছর মেয়াদি),
345,Interest to financial institution,আ্থিক প্রতিষ্ঠানকে দেয় সুদ,
3451,Interest to financial institution,আ্থিক প্রতিষ্ঠানকে দেয় সুদ,
34511,Interest to financial institution,আ্থিক প্রতিষ্ঠানকে দেয় সুদ,
3451101,Interest to Bank,ব্যাংক সুদ,
34512,Interest to Government,সরকারকে দেয় সুদ,
3451201,Interest on loan from government,সরকার হতে গৃহীত ঋণের সুদ,
3451202,Interest on loan from Bangladesh municipal development fund,বাংলাদেশ মিউনিসিপাল ডেভেলপমেন্ট ফান্ড হতে গৃহীত ঋণের সুদ,
35,Subsidies,ভরতুকি,
351,To public corporations,সরকারি কর্পোরেশনকে দেয় ভরতুকি,
3511,Public nonfinancial corporations subsidies,অআর্থিক সরকারি কর্পোরেশনকে দেয় ভরতুকি,
35111,Primary production subsidy,প্রাথমিক উৎপাদনে দেয় ভরতুকি,
3511101,Agriculture subsidy,কৃষি ভরতুকি,
3511102,Fertilizer subsidy,সার ভরতুকি,
3511103,Food subsidy,খাদ্য ভরতুকি,
3511104,Fuel subsidy,জ্বালানি ভরতুকি,
35112,Export subsidy,রপ্তানি ভরতুকি,
3511201,General export subsidy,সাধারণ রপ্তানি ভরতুকি,
3511202,Jute goods export subsidy,পাটজাত দ্রব্য রপ্তানি ভরতুকি,
35113,Other subsidies,অন্যান্য ভরতুকি,
3511301,Hajj flights subsidy,হজ ফ্লাইট বাবদ ভরতুকি,
3511302,Inland water transport subsidy,অভ্যন্তরীণ নৌ পরিবহণ ভরতুকি,
